0.0995 0.125
0.0875 0.1615
0.096 0.194
0.106 0.208
0.1115 0.2245
0.1055 0.242
0.0995 0.257
0.1005 0.2715
0.0975 0.283
0.4205 0.28
0.2495 0.298
0.1745 0.291
0.125 0.303
0.1 0.308
0.0955 0.3195
0.098 0.3165
0.095 0.3255
0.126 0.323
0.144 0.338
0.1685 0.334
0.1945 0.3435
0.1775 0.3475
0.184 0.348
0.148 0.349
0.154 0.352
0.161 0.363
0.1515 0.3595
0.1525 0.3625
0.155 0.363
0.1565 0.3655
0.1615 0.3785
0.1715 0.369
0.1605 0.3715
0.1625 0.371
0.1765 0.375
0.153 0.3725
0.1515 0.3775
0.1915 0.3805
0.162 0.3785
0.167 0.3775
0.184 0.38
0.18 0.3835
0.178 0.388
0.178 0.3835
0.1795 0.3935
0.168 0.3915
0.183 0.389
0.196 0.3955
0.1825 0.3975
0.1745 0.4015
0.186 0.3875
0.186 0.4005
0.1925 0.4045
0.1905 0.4
0.1945 0.4
0.1905 0.396
0.194 0.403
0.1865 0.4175
0.215 0.403
0.2165 0.3955
0.204 0.406
0.228 0.4045
0.199 0.4075
0.2155 0.407
0.2075 0.4115
0.218 0.4075
0.2095 0.4065
0.216 0.4065
0.216 0.414
0.224 0.4055
0.253 0.4075
0.2255 0.4065
0.2285 0.429
0.235 0.4135
0.222 0.421
0.2315 0.4165
0.2245 0.419
0.234 0.417
0.2385 0.423
0.2395 0.4155
0.2525 0.4145
0.246 0.433
0.2455 0.4155
0.246 0.424
0.266 0.434
0.267 0.4275
0.268 0.4145
0.2675 0.4345
0.267 0.4265
0.274 0.4255
0.273 0.4295
0.2715 0.4195
0.2665 0.423
0.293 0.4345
0.293 0.438
0.2865 0.4315
0.3005 0.437
0.294 0.4405
0.3045 0.4395
0.299 0.442
0.2945 0.4345
0.3045 0.4385
0.3145 0.4475
0.3175 0.446
0.312 0.4475
0.3205 0.4455
0.309 0.4405
0.3235 0.436
0.333 0.4445
0.3295 0.4425
0.319 0.4425
0.3225 0.449
0.3455 0.4535
0.3495 0.4415
0.3345 0.442
0.3315 0.443
0.3385 0.4515
0.359 0.455
0.3585 0.451
0.375 0.451
0.3745 0.4515
0.368 0.452
0.371 0.46
0.365 0.454
0.369 0.4605
0.3875 0.455
0.386 0.456
0.3895 0.4605
0.409 0.464
0.391 0.454
0.406 0.4665
0.39 0.4675
0.3995 0.4635
0.41 0.4645
0.402 0.456
0.4305 0.4745
0.426 0.468
0.4305 0.4755
0.43 0.4685
0.4245 0.461
0.428 0.4705
0.4405 0.4665
0.4465 0.4805
0.443 0.475
0.4525 0.4735
0.4515 0.4795
0.4525 0.477
0.4585 0.469
0.4765 0.471
0.4665 0.4775
0.469 0.478
0.4675 0.4765
0.485 0.4725
0.483 0.479
0.486 0.484
0.492 0.4855
0.495 0.484
0.4975 0.488
0.5185 0.494
0.518 0.478
0.5165 0.489
0.515 0.493
0.518 0.4855
0.523 0.4825
0.517 0.497
0.5185 0.482
0.515 0.487
0.527 0.495
0.531 0.4905
0.55 0.485
0.554 0.491
0.558 0.492
0.5505 0.4915
0.5545 0.4915
0.56 0.4925
0.555 0.501
0.566 0.4925
0.564 0.494
0.5655 0.507
0.571 0.491
0.573 0.4975
0.5835 0.492
0.5875 0.5015
0.581 0.5065
0.579 0.4995
0.584 0.5025
0.5825 0.4925
0.5965 0.508
0.5955 0.4975
0.6005 0.4985
0.599 0.5055
0.5975 0.501
0.5915 0.504
0.6105 0.5035
0.6045 0.509
0.612 0.5095
0.616 0.5145
0.61 0.514
0.6125 0.509
0.6075 0.5155
0.6165 0.517
0.6235 0.5115
0.628 0.4995
0.633 0.5165
0.6275 0.516
0.6165 0.5105
0.6205 0.5145
0.6235 0.518
0.63 0.5175
0.634 0.519
0.619 0.5145
0.634 0.5195
0.632 0.52
